closedprices,olhc4_filter,olhc4_filter2
7235.2,7243.026721567333,7239.382862489174
7235.9,7242.34879273432,7238.441945552629
7235.4,7241.687789367665,7237.620145065411
7237.4,7241.279913738631,7237.560671508477
7238.4,7241.005962168956,7237.787421314262
7238.4,7240.758070220971,7237.9529132514745
7236.2,7240.324484146856,7237.479352847717
7237.7,7240.074830297168,7237.538962046538
7240.7,7240.1342995163695,7238.392936085627
7242.9,7240.397386559074,7239.610547399398
7244.2,7240.759109865934,7240.85041652854
7243.9,7241.057886794862,7241.674280446976
7243.2,7241.261655146357,7242.086463061799
7245.2,7241.63628989326,7242.9276044065455
7246.7,7242.1179749220555,7243.946740509755
7246.9,7242.5728646844655,7244.744581906313
7245.9,7242.8893581717475,7245.056725281632
7247.9,7243.365995084692,7245.824853608857
7245.9,7243.607042104539,7245.845154873224
7246.9,7243.920284467403,7246.130127836785
7250.2,7244.51764191745,7247.229629083201
7248.7,7244.915488403714,7247.62685892013
7247.4,7245.151827375451,7247.565571573638
7246.2,7245.2515347145745,7247.196653930265
7245.7,7245.294194939858,7246.792323573982
7245.2,7245.285234653554,7246.362147469161
7242.4,7245.010776932262,7245.291748718016
7242.4,7244.762426980293,7244.510524838672
7242.4,7244.537701298126,7243.940353443195
7243.2,7244.41045256652,7243.740342361535
7243.9,7244.361895805959,7243.783474864339
7245.4,7244.460645386416,7244.220189171385
7246.9,7244.692688803697,7244.944156713376
7246.2,7244.836071663633,7245.283430578395
7246.9,7245.032402685587,7245.720156849564
7247.2,7245.238595210988,7246.11994566925
7247.7,7245.472736149485,7246.546807161797
7245.9,7245.513379589927,7246.372068189155
7248.9,7245.835531592186,7247.055004671042
7249.2,7246.155576386958,7247.634488483596
7246.9,7246.226389625063,7247.436061857205
7248.2,7246.414129157984,7247.642444491967
7244.7,7246.251072755579,7246.847524834375
7242.7,7245.913277236786,7245.727045236476
7242.4,7245.579077013768,7244.828223298664
7242.9,7245.324230021875,7244.307301796654
7242.4,7245.046062869214,7243.792032368374
